sample_id,filepath,size
DAH172N,,
DG1133N,,
DG1134N,,
DG1135N,,
DG1136N,,
DG1138N,,
DG1197N,,
DG1198N,,
SA1047N,,
SA1048N,,
SA1049N,,
SA1050N,,
SA1051N,,
SA1052N,,
SA1053N,,
SA1091N,,
SA1092N,,
SA1093N,,
SA1094N,,
SA1095N,,
SA1096N,,
SA1097N,,
SA820N,,
SA821N,,
SA822N,,
SA823N,,
SA824N,,
SA825N,,
DG1133i,,
DG1133a,,
DG1133c,,
DG1133e,,
DG1133g,,
DG1133k,,
DG1134a,,
DG1134c,,
DG1134e,,
DG1134g,,
DG1135g,,
DG1135e,,
DG1135a,,
DG1135c,,
DG1136i,,
DG1136a,,
DG1136c,,
DG1136e,,
DG1136g,,
DG1138a,,
DG1137a,,
DG1195a,,
DG1197c,,
DG1197e,,
DG1197g,,
DG1197i,,
DG1197a,,
DG1198a,,
DG1198c,,
DG1198e,,
DG1198g,,
DAH172B,,
DAH172E,,
DAH172F,,
DAH172RA,,
DAH172RB,,
DAH172RE,,
DAH172RF,,
DAH172RG,,
DAH172RH,,
SA820G,,
SA820J,,
SA820B,,
SA820C,,
SA820E,,
SA821C,,
SA821B,,
SA821E,,
SA821G,,
SA821J,,
SA822E,,
SA822K,,
SA822I,,
SA822C,,
SA822G,,
SA823H,,
SA823A,,
SA823C,,
SA823E,,
SA823I,,
SA824D,,
SA824E,,
SA824B,,
SA824J,,
SA824G,,
SA825A,,
SA825D,,
SA825J,,
SA825E,,
SA825G,,
SA1047A,,
SA1051E,,
SA1049C,,
SA1052E,,
SA1052J,,
SA1049A,,
SA1051G,,
SA1052A,,
SA1048,,
SA1052B,,
SA1052D,,
SA1053F,,
SA1052H,,
SA1047B,,
SA1052C,,
SA1047C,,
SA1052G,,
SA1049B,,
SA1053A,,
SA1053E,,
SA1050D,,
SA1053D,,
SA1051D,,
SA1050C,,
SA1053B,,
SA1051B,,
SA1050B,,
SA1050E,,
SA1050F,,
SA1047D,,
SA1051F,,
SA1051A,,
SA1052F,,
SA1050A,,
SA1051C,,
SA1053C,,
SA1091a,,
SA1091b,,
SA1091c,,
SA1092a,,
SA1092b,,
SA1093a,,
SA1093b,,
SA1094a,,
SA1094b,,
SA1094c,,
SA1094e,,
SA1093c,,
SA1093d,,
SA1095a,,
SA1095b,,
SA1095c,,
SA1096a,,
SA1096b,,
SA1096c,,
SA1097c,,